create,chế tạo
subtle,tế nhị
soulmate,tri kỉ
react,phản ứng
"mentor, instructor",người hướng dẫn
flytrap,"cây bắt ruồi, cây ăn thịt người"
insect,côn trùng
phenomena,hiện tượng
mirage ,ảo ảnh
illution,ảo giác
conspiracy,âm ưu
ideal,lý tưởng
compulsive,cưỡng ép
drug,ma túy
disorder,rối loạn
cure,sự chữa bệnh
therapist,nhà trị liệu
"shame, shy",xấu hổ
ranching,chăn nuôi
farming,trồng chọt
"mindful, responsible",trách nhiệm
"reliable, reliance",đáng tin cậy
willingness,tự nguyện
willing,sẵn sàng
pastor,mục sư
firefighter,lính cứu hỏa
"consist, include",bao gồm
repentance,sám hối
contrition,ăn năng
volunteer,tình nguyện
etiquette,lịch sự
interact,tương tác
utensils,đồ dùng - đũa - muỗng - ...
greet,chào hỏi
"interrupting, disrupt",làm gián đoạn
blush,đỏ mặt
"betrayal, treachery",phản bội
trust,tin tưởng
faith,sự tin tưởng
truth,sự thật
dealt,xử lí
circumstances,trường hợp
hypothe,giả thuyết
innovation,sự đổi mới
constraint,hạn chế
achivement,thành tựu
pratice,thực hành
pratical,thực tế
parnership,quan hệ đối tác
funding,kinh phí
"vendor, seller",người bán
harm,làm hại
selfish,ích kỷ
"genre, categories",thể loại
category,danh mục
"ridicule, mock",chế nhạo
foible,nhược điểm
tyrant,bạo chúa
transparent,trong suốt
trait,đặc điểm
vice,tật xấu
"abuse, overuse",lạm dụng
overwhelm,áp đảo
coach,huấn luyện viên
spontaneous,tự phát
corruption,tham nhũng
expose,phơi bày
likely,rất có thể
injure,làm tổn thương
punishment,hình phạt
"foible, drowback, defect",nhược điểm
sturdy,vững chắc
withstand,chịu đựng được
endurance,sức chịu đựng 
stock market,thị trường chứng khoán
ingrain,ăn sâu
"accomplishment, achivement","thành tích, thành tựu"
determination,quyết tâm
accompanis,đi kèm
grief,nỗi buồn
appetite,thèm ăn
desserts,món tráng miệng
bankrupt,phá sản
refugrees,người tị nạn
victim,nạn nhân
sense of,cảm giác
conceit,tự cao
resilliance,"khả năng hồi phục, thích ứng"
masterpiece,kiệt tác
superior,thượng đẳng
"arrogant, pride",kiêu ngạo
intense,mãnh liệt
tense,căng
lash out,đả kích
isolate,cô lập
journaling,viết nhật ký
diary,nhật ký
counselor,cố vấn
"put out, extinguish",dập tắt
collapse,sụp đổ
hazardous,nguy hiểm
carry out,tiến hành
"vital, essential",thiết yếu
necessary,cần thiết
diploma,bằng cấp
recuse,giải cứu
growl,tiếng gầm gừ
silly,ngớ ngẩn
maim,thương tật
limb,"tứ chi, tay chân"
explode,nổ tung
corpoal,hạ sĩ
slit,rạch
"frantically, madness",điên cuồng
departure,khởi hành
folk tale,truyện dân gian
sip,"hớp, uống 1 hơi"
"giggle, chuckled",cười khúc khích
roast,thịt nướng
sniff,đánh hơi
tempting,hấp dẫn
patches,"vá, chắp"
crust of,vỏ của...
skiwer,xiên thịt
soak,ngâm
merely,chỉ đơn giản là
vine,vườn nho
grape,nho
"attire, skin",trang phục
mansion,biệt thự
migled,trộn
turban,khăn quấn đầu - ở India
swagger,vênh váo
servant,người hầu
nod,gật đầu
heaped,chất thành đống
gesture,ám hiệu
pickle,dưa chua
fig,quả sung
amazement,sửng sốt
compassion,lòng trắc ẩn
companion,bạn đồng hành
nervous,"thần kinh, lo lắng"
bacteria,vi khuẩn
cereal,ngũ cốc
fuel,nhiên liệu
grain,lương thực
diminish,giảm bớt
bullshit,nhảm nhí
crap,tào lao
ton,tấn
incredible,đáng kinh ngạc
reunite,tái hợp
disoriented,mất phương hướng
"fomular, recipe",công thức
british,người Anh
conflic,xung đột
mud,bùn
allied,đồng minh
truce,đình chiến
stay sane,giữ tỉnh táo
exchange,trao đổi
barrel,thùng
juggler,nghệ sĩ tung hứng
arise,này sinh
taboo,cấm kị
lick,liếm
insciption,dòng chữ
signpot,bảng chỉ dẫn
suicide,tự sát
external,vĩnh cữu
expiry,hạn sử dụng
premanent,vĩnh viễn
suburb,ngoại ô
cattle,"gia súc, bò"
frandulent,lừa đảo
fluent,thành thạo
estimate,ước lượng
accompany,đồng hành
bond,liên kết
collaborate,hợp tác
visible,dễ thấy
relate,liên quan
refering,giới thiệu
peer,ngang nhau
"charimatic, fascinating",lôi cuốn
daring,táo bạo
courageous,can đảm
demanding,yêu cầu khắt khe
cowardice,hèn nhát
energentic,mãnh liệt
feminine,giống cái
"derogatory, offence",xúc phạm
branch,nhánh
merge ,"hợp, hợp nhất"
mischievous,tinh nghịch
competent,có thẩm quyền
authority,thẩm quyền
maternal,"bên ngoại, bên gia đình mẹ"
"apply to, submission",nộp hồ sơ
synonym,đồng nghĩa
"heir, inheritor","người kế thừa, kế thừa"
enmity,thù địch
descendant,hậu duệ
rivalry,ganh đua
abandon,bỏ rơi
outcast,bỏ bơ vơ
colony,thuộc địa
inquire,hỏi thăm
"dearth, scarity",khan hiếm
"eradicate, exclude",loại trừ
incinerate,thiêu
incipient,mới bắt đầu
inseparable,không thể tách rời
intrinsic,nội tại
"unavoidable, inevitable",không thể tránh khỏi
latent,ngầm
"preclude, prevent",ngăn chặn
exclude,loại trừ
superficial,siêu phàm
termination,chấm dứt
separate,"chia, chia cắt"
superior,thượng đẳng
superstitions,mê tín
roach,gián
executive,điều hành
"innovative, innovation",sự đổi mới
apeal,bắt mắt
techies,kĩ thuật viên
hand out,trao
remarkable,đáng chú ý
article,bài báo
prizes,giải thưởng
scandal,vụ bê bối
patriotic,yêu nước
"prohibit, ban",cấm
resident,người dân
"resonable, rational",hợp lí
religion,tôn giáo
strict,nghiêm ngặt
regards,trân trọng
palance,cung điện
roof,mái nhà
nationalities,quốc tịch
singular,số ít
spicy,cay
intensity,cường độ
ordinal,thứ tự
attitude,thái độ
abalone,bào ngư
"irritation, stimulate",kích thích
scalp,da đầu
mild,nhẹ
presciption,đơn thuốc
widening,mở rộng
noticeable,đáng chú ý
afford,đủ khả năng chi trả
pros and cons,ưu và nhược điểm
"assembly, metting",cuộc họp
restrict,hạn chế
"murmur, whisper",thì thầm
insertion,chèn
sort,"loại, sắp xếp"
bubble,bong bóng
index,mục lục
apocaplyse,tận thế
thud,thịch
thump,đập mạnh
reference,có thẩm quyền giải quyết
ready stock,hàng có sẵn
"gauntlet, glove",găng tay
expression,sự biểu lộ
commissioned,hạn sĩ
nobleman,quý tộc
alchemist,nhà giả kim
freemanso,người tự do
prince,hoàng tử
princess,công chúa
distinguish,phân biệt
regiment,trung đoàn
lightweight,nhẹ
infantry,bộ binh
mechanis,cơ khí
hydraulic,thủy lực
compound,hợp chất
carriage,xe kéo thời xưa
"cunning, insidious",xảo nguyệt
censorship,người kiêm duyệt
spread,phết
lettuce,xà lách
oble,cao quý
imperative,mệnh lệnh
"get rid, escape",thoát khỏi
minimalist,tối giản
front,đằng trước
contraction,rút gọn
constant,liên tục
"tilt, lean",nghiêng
"thrust, push",đẩy
"drag, pull",kéo
frictional,lực ma sát
offset,bù lại
upward,"trở lên, bay lên"
elevator,thang máy
shaft,trục
oat,yến mạch
muffin,bánh xếp
roasted,rang
antarctic,nam cực
nourth pole,bắc cực
"dowtown, center city",trung tâm thành phố
melty,tan chảy
people come people,người đến người đi
salad day,ngày tháng bồng bột
upperclassman,lớp trên
energizing,tiếp thêm sinh lực
residence,nơi cư trú
monarchs,quốc vương
fortress,pháo đài
arma-ment,vũ khí
"reign, dinasty",triều đại
crown,vương miệng
crow,quạ
crowd,đông đúc
scepter,quyền trượng
cliff,vách đá
arch,vòm
unless,trừ khi
monastery,tu viện
tapestries,thảm trang trí
carving,chạm khắc
"pond, lake",hồ
fodder,thức ăn gia súc
straw,cuộn rơm
statue,bức tượng
chariot,xe ngựa
"chateaux, castle",lâu đài
misstress,tình nhân
"apparent, clearly",rõ ràng
still,vẫn
till,cho đến khi
revolt,"nổi loạn, khởi nghĩa "
winery,nhà máy rượu
wandered,lang thang
fortified,kiên cố
toss,quăng
dome,nhà hộp
facade,mặt tiền
marble,đá cẩm thạch
fairy,nàng tiên
hall,sảnh
represent,đại diện
overcome,vượt qua
suites,dãy phòng
dominate,thống trị
passta,mì ống
plaza,quảng trường
fountain,đài phun nước
colloseum,đấu trường la mã
imprisoned,bị cầm tù
"ramport, citadel",thành lũy
crew,phi hành đoàn
mattress,nệm
patio,hiên nhà
valley,thung lũng
countable,đếm ngược
dozen,chục
syrup ,si rô
favor,"ủng hộ, nhờ...."
hassle,rắc rối
groceries,cửa hàng tạp hóa 
champagne,sâm banh 
conceciding,trùng hợp
countryman,đồng hương
glittering,lấp lánh
pure,nguyên chất
itself,chính nó
grasshopper,châu chấu
fade,mờ dần
blinking,nhấp nháy
weird,kì quặc
fate,định mệnh
echoes,tiếng vang
beetles,bọ cánh cứng
certain - sure - definitely,chắc chắn
slumber,giấc ngủ
dozed,ngủ gậc
den - cave,hang động
joy - happy,vui vẻ
raspy,sự ăn mòn
have you no manner,bạn không có ý thức à
saucily,xất xược
argue,tranh cãi
nor,cũng không
permit,cho phép làm gì
punish,hình phạt
gorgeous,lộng lẫy
admiration,ngưỡng mộ
what fool,thật ngu ngốc
wrinkle,"nhăn nheo, nếp nhăn"
spy,gián điệp
resemble,giống nhau
peacook,con công
venture - risky,mạo hiểm 
yard,sân 
recuse,cứu hộ
moulting,lột xác
tail,đuôi
discovered - detect,phát hiện
striding,sải bước
peck,mổ
plume,lông chim
borrow,mượn
shepherd,người chăn cừu
grazing,chăn thả
pasture,đồng cỏ
out of greed,vì lòng tham
greed,lòng tham
steal,ăn trộm
belling the cat,đeo lục lạc cho mèo
mice - rat,chuột
general council,hội nghị chung
council,hội nghị
consider,xem xét
proposal to make,đề xuất cần làm
chief,trưởng phòng 
consist,bao gồm
contain,chứa
the sly,ranh mãnh
danger,nguy hiểm
treachery - abury - betray,phản bội 
treacherous,phản bội
manner ,thái độ
behavior,hành vi
approach,tiếp cận
propose,tư thế cầu hôn
proposal ,đề xuất
applause - clap,vỗ tay
impossible remidies,biện pháp bất khả thi
remidies,biện pháp khả thi
reputation,danh tiếng
retinue,tùy tùng 
riding,cưỡi ngựa
slave,nô lệ
beneath,ngay phía dưới
beyond - external,bên ngoài
on top of,tên đỉnh của
in short,nói ngắn gọn
in simple term,nói 1 cách đơn giản
to repeat,nhắc lại
repeatedly,nhiều lần
mean while,trong khi đó
previous,trước đó
subsequently,sau đó
midday,giữa ngày
agrument,lý lẽ
coward,nhát gan
courage,can đảm
stout body,thân hình mập mạp
hounds,chó săn
wolves,chó sói
sheer - absolute,tuyệt đối
won't,sẽ không
bark,vỏ cây
bark of,tiến sủa của
what a satire,thật mỉa mai
satire,châm biếm
pleased,hài lòng
admire,ngưỡng mộ
fortune,vận may
pretend,giả vờ
prevent,ngăn chặn
president,tổng thống
prison,tù nhân
pattern,mẫu
indeed,thật vậy
eager,háo hức
to begin,bắt đầu với
accordingly,theo như
and so,và vì thế
as a reslut,kết quả là
consenquently,do đó
hence - so - therefore - thus,vì vậy
but - yet,nhưng
however - nevertheless,tuy nhiên
on the contrary - contrast,ngược lại
and brief,nói chung
in closing,tóm lại
on the whole,nói chung
along side,dọc theo
buzzing,tiếng vo ve
spitefully,ác ý
instant,lập tức
instead,thay vì
stung,chích
rage,cơn thịnh nộ
firece,"nảy lửa, quyết liêt"
claw,móng vuốt
roar,tiếng gầm
terribly,khủng khiếp
spider web,mạng nhện
there,ở đó
miserable,khổ sở
the prey,con mồi
pride,khiêu ngạo
pround,tự hào
period,giai đoạn
off guard,mất cảnh giác
mecury,thủy ngân
woodman,tiều phu
despair,tuyệt vọng
weeping,khóc lóc
hold,"giữ, cầm"
laid,đặt
declared,khai báo
had been lost,đã đánh mất
glad,vui mừng
pebbles,sỏi
in a pinch,trong tình huống khó khăn
wit,mưu mẹo
stroll,đi dạo
grace,duyên dáng
ungrace,vô duyên
accustom,quen dần
twisting,"xoắn, vặn"
precept,dạy bảo
quench,dập tắt
each other,nhau
anger,tức giận
angle,góc
angel,thiên thần
soon,sớm
suddenly,đột nhiên
vulture,kền kền
vulnerable,"yếu ớt, mong manh"
longing,thèm khát
beast,quái thú
thus,như vậy
mosquito,muỗi
away with you,cút đi mày
vile,hèn
insect,côn trùng
whatwver,bất cứ điều gì
certificate,chứng chỉ
expiry,hạn sử dụng
eternal,vĩnh cữu
permanet,vĩnh viễn
decoy,mồi nhử
obfuscation,xáo trộn
track,theo dõi
that the point right,đó là mục tiêu đúng không
duplicatie,nhân đôi
there was once,đã từng có
ill-nature,xấu tính
fasten,đóng lại
clog,tắt nghẽn
drag,kéo
wiser,không ngoan
acquaitntance,"người quen, dejavu"
disgraceful,đáng hổ thẹn
notoriety is not fame,tai tiếng không phải là danh tiếng
crow,quạ
crowd,đông đúc
crown,vương miện
scepter,quyền trượng
pastor,mục sư
pitcher,cái bình
spell,đánh vần
spell of dry,đợt hạn hán
thirst,khát nước
drought,hạn hán
referred,được giới thiệu
synchronization,đồng bộ hóa
a little bit of,một chút của
intrusive - offen,xúc phạm
detect,phát hiện
track,theo dõi
steal,trộm
sin,"tội, lỗi"
opposed,"phàn đối, ngược lại"
protest,"phản đổi, phản kháng"
initiate,khởi xướng
never mind,đừng bận tâm
establish,thành lập
pseudo,giả
filter,lọc
session,phiên họp
poking,chọc  (dùng tay chọc)
manual,thủ công
accurate,chính xác
stink,mùi hôi
script,kịch bản
tracerounte,dấu vết
stuff,chất liệu
how far away,bao xa vậy ?
reinstall,cài đătk lại
journeymen,cựu học viên
make a mess,làm rối tung
apprentice,thực tập
well-recognized,có danh tiếng
competition,cuộc thi
position,chức vụ
orientation,phương hướng
expect,mong đợi
excited,háo hức
you better make sure,tốt hơn là bạn nên chắc chắn
leak,rò rỉ
reuse,tái sử dụng
plug,ổ cắm
to do that,để làm điều đó
negative,tiêu cực
navigate,điều hướng
natively,vốn có
reminisce,hoài niệm
helmet,mũ bảo hiểm
salad day,tháng ngày bồng bột
hand cuffed,còng tay
panacea,chữa lành tất cả
solitude,một mình nhưng không hề cô độc
overwrite,ghi đè
straight,thẳng
strength,mạnh
strange,lạ lùng
correspond,tương ứng
kelp,tảo bẹ
string ,dây
variation,biến thể
single out,chọn ra một
subtle,tế nhị
wordy,nhiều lần
repeat ,lặp lại
gigantic - giant,khổng lồ 
specify,chỉ định 
weird,kì quặc
blend,trộn
boot,khởi động
curious,tò mò
workstation,nơi làm việc
continually,liên tục
distros,bản phân phối
subdirectories,thư mục con
privilege,đặc quyền
exclusive ,loại trừ
disrupt,quấy rối
hamper,ngăn chặn
lobby,hành lang
bring up,nuôi lớn somthing
lengthy,dài lòng
waste,phí phạm
conform,tuân thủ
defect,phát hiện
inspect - observe,quan sát
priority,ưu tiên
throw out,vứt bỏ
anxious,lo lắng
assume,"cho rằng, giả định"
experiment,thí nghiệm
experience,"kinh nghiệm, trải nghiệm"
lease , cho thuê
lease agreement,hợp đồng cho thuê
consider,xem xét
platform,nền tảng
pretty,"đẹp, ..."
underscore,dấu gạch dưới
lowercase,chữ thường
capital letter,chữ hoa
proven,chứng minh
abuse,lạm dụng
abuse ,lạm dụng
stimulate,kích thích
mermaid,nàng tiên cá
disturb,làm phiền
liability,trách nhiệm pháp lí
reflect,phản ánh
account balance,số dư tài khoản
subtract ,trừ đi
deduct,khấu trừ
down payment,trả trước
mortage,cầm đồ
signature,chữ kí
accumulate,tích tũy
asset,tài sản
audit,kiểm toán
budget,ngân sách
debt,nợ
turnover,doanh thu
fund,kinh phí
pull out,rút lui
deadline,hạn cuối
forecast,dự đoán
target,mục tiêu
yield,năng xuất
conductive,dẫn điện
revise,sửa lại
compensate,bồi thường
eligible,đủ tư cách
delicate,"nhạy bén, nhanh nhạy"
negoative,thương lượng
estimate,ước lượng
retire,nghỉ hưu
wage,tiền công
hesitate,do dự
weakness,điểm yếu
achivement,thânh tựu
merit,công lao
promote,khuyến mãi
obtain,đạt được
bargain,mặc cả
carrier,hãng vận chuyển
catelog ,mục lục
supply,cung cấp
provide,cung cấp
discount,giảm giá
inpose,áp đặt
rectify,chỉnh sữa
terms,điều kiện or thuật ngữ
adjust,điều chỉnh
crucial,chủ yếu
prison - jail,nhà tù
stadium,sân vận dộng
valley,thung lũng
box office,phòng vé
pop corn,bỏng ngô
noon,buổi trưa
decision,phán quyết
abide by,tuân thủ
consumer,người tiêu dùng
convince,thuyết phục
productive,sản xuất
imply,ngụ ý
vary,biến đổi
demonstrate,chứng minh
attend,xuất hiện
display,hiển thị
ignore,bỏ qua
upon,trên
durable,lâu bền
petition,lời thỉnh cầu
proof,chứng minh
balm,"sáp chống khô, nứt da"
alcohol,đồ uống có cồn
appetizer,món khai vị
assittant cook,phụ bếp
bar,quầy rượu
booking,đặt trước
chef,đầu bếp
cocoa,ca cao
dessert,món tráng miệng
entree,món chính 
F&B manager,giám đốc bộ phận ẩm thực
food runner,nhân viên chạy bàn
waiter - waitress,bồi bàn
goose,ngỗng
landle,thìa múc canh
lobster,tôm hùm
octopus,bạch tuộc
price list,bảng giá
smoothie,sinh tố
tip,tiền bo
guest house,nhà khách
topical,thuộc chủ đề
surrounding ,"xung quanh, lân cận"
beneficial ,có lợi
good match,hợp nhau
negotiate ,đàm phán 
validate ,xác thực
inpact,tác động
operate,vận hành
emission,khí thải
ecological balance ,cân bằng sinh học
function ,chức năng
occupant ,xúc tiến
spacious,rộng rãi
organised ,có tổ chức
contaminate,làm ô uế
recruitment agency ,cơ quan tuyển dụng 
expand ,mở rộng 
absorb ,hấp thụ
kind-hearted,nhân hậu 
talkative ,lắm lời
alternative,luân phiên
dull,mắt lờ đờ
fit,vừa vặn
blender,máy xay sinh tố
colander,cái rổ
chopping board,cái thớt
juicer,máy ép trái cây
kettle,ấm đun nước
sink,cái bồn rửa mặt
tongs,cái kẹp
whisk,máy đánh trứng
juicy,món ăn có nhiều nước
mouldy,mốc
tender,mềm
tough,dai
under-done,tái
unripe,chưa chín
humid,ẩm
overcast,âm u
celcius,độ C
downpour,mưa lớn
hails,mưa đá
bald,hói 
dyed,tóc nhuộm
ponytail,tóc đuôi ngựa
martial,võ thuật
"tai-chi, ayurvedic",tập dướng sinh
ballet,ba lê
mint,bạc hà
shallot,hành tím
cayenne,ớt bột
barley sugar,mạch nha
catalysm,đại hồng thủy
drought,hạn hán
hailstorm,mưa đá
hurricane,bão
lightning,sấm chớp
meteor shower,mưa sao băng
sandstorm,bão cát
thunder,sấm
volcanic eruption,núi lửa phun trào
blockbuster,phim bom tấn
cast,dàn diễn viên
skating,trượt băng
defeat,"hạ gục, đánh bại"
default,mặc định
draw,"hòa, vẽ"
match,trận đấu
opponent,"đối thủ, phản đối"
score,"tỉ số, điểm"
gemstone,đá quý
gold mine,mỏ vàng
hydropower,thủy điện
mineral,khoáng sản
nuclear power,năng lượng hạt nhân
petroleum,dầu mỏ
solar power,năng lượng mặt trời
apocaplyse,tận thế
avanlanche,tuyết lỡ
blizzard,bão tuyết
doomsday,ngày tận thế
dayschool,bán trú
boarding school,trừng nội trú
nursing,dưỡng lão
vocational school,trường nghề
continuing education,giáo dục thường xuyên
nursing home,trại dưỡng lão
wedding party,tiệc cưới
wedding venue,địa điểm của tiệc cưới
"swot up, review....lesson",ôn lại bài
packed lunch,đồ ăn mang theo
detention,giam giữ
conduct,chỉ đạo
certificate,chứng chỉ
cut class,trốn học
public school,trường công lập
private school,trừng dân lập
kindergarten,mẫu giáo
primary school,tiểu học
"junior, sercond school","trung học cơ sở, cấp hai"
high school,"trung học phổ thông, cấp ba"
university,đại học
college,cao đẳng
section,"phần, phòng"
division,phân công
bakery,lò nướng
card visit,danh thiếp
ink,mực
projector,máy chiếu
rubber band,dây cao su
tape,băng dính
bring up....,nuôi...
adapted child,con nuôi
blue blood,"dòng dõi hoàng tộc, quý s tộc"
orphan,trẻ mồ côi
spouse,vợ chồng
blended family,gia đình hạt nhân
step mother,mẹ kế
step father,cha dượng
invitation,"thiệp mời, mời"
jewery,trang sức
veil,khăn trùm đầu khi cưới
sweater,áo len
attach,đính kèm
character limit,giới hạn kí tự
department store,siêu thị
groceries,cửa hàng tạp hóa
e-commerce,thương mại điện tử
cash register,máy đếm tiền
cashier,thu ngân
cash,tiền mặt
leaflet,tờ rơi
checkout,quầy thu tiền
queue,xếp hàng
refund,hoàn tiền
shop assistant,nhân viên cửa hàng
fitting room,phòng thay đồ
shelf,kệ
stock room,kho chứa hàng
trolly,xe đẩy trong siêu thị
sew,may
jigsaw puzzle,câu đố ghép hình
"puzzle, riddle",câu đố
bullet,bắt nạt
hiking,leo núi
riding,cưỡi ngựa
sky diving,nhảy dù
fall in love,phải lòng
love at the first sight,yêu từ cái nhìn đầu tiên
break up,chia tay
divorce,ly hôn
drop someone,bỏ rơi ai đó
adultery,ngoại tình
my boo,người yêu của tôi
contributor,cộng tác viên
editor,biên tập viên
fact checker,người kiểm tra thông tin
papaya,đu đủ
peach,đào
pear,lê
corn,bắp
belly,bụng
back,lưng
belt,thắt lưng
socks,vớ
jigsaw,ghép hình
be convicted of,bị kết tội
civil law,luật dân sự
commit,phạm tội tội
client,"thân chủ, khách hàng"
congress,quốc hội
date of issua,ngày cấp
defendant,bị cáo
felony,trọng tội
"morality, ethic",đạo đức
textbook,sách giáo khoa
scissor,kéo
ruler,thước
pen ,bút
pencial,bút chì
protractor,thước đo độ
maker,bút lông
goble,quả địa cầu
eraser,cục tẩy
chalk,phấn
paper clip,kẹp giấy
bus,xe bus
coach,xe khách
submarine,tàu ngầm
helicopter,trực thăng
hot-air-balloon,khinh khí cầu
driving licese,giấy phép lái xe
traffic jam,kẹt xe
algebra,đại số
class metting,họp lớp
geometry,hình học
geography,địa lí
physics,vật lí
physical education,thể chất
sled,xe trượt tuyết
sleigh,xe trượt tuyết
snow flake,bông tuyết
turkey,gà tây
dowry,của hồi môn
bell,chuông
boxing day,"ngày sau giáng sinh, ngày quà tặng"
candle,nến
candy cane,cạo hình gậy
carol,nhạc giáng sinh
chimmey,ống khói
christmas eve,đêm Giáng sinh
christmas card,thiệp giáng sinh
christmas tree,cây thông noel
pine,cây thông
eggnog,rượu trứng...
fairy light,đèn nhấp nháy
fire place,lò sửi
fire wood,củi
ginger bread man,bánh quy hình người
mistletoe,cây tầm gửi
reindeer,tuần lộc 
ribbon,ruy băng
sack,túi của ông già noel
satan claus,ông dà noel
mop the floor,lau sàn
mop,lau
mow,cắt cỏ
re-arrange,sắp sếp
sweep,quét
vacuum,máy hút bụi
carnival,hội chợ
casino,sòng bạc
cinema,rạp phim
circus,rạp xiếc
concert,buồi hòa nhạc
museum,bảo tàng
exhibition,triễn lãm
parade,cuộc diễu hành
"pub, bar",quán rượu
pool,hồ bơi
zoo,sở thú
always,luôn luôn
usually,thường xuyên
generally,thông thường
often,thường
sometime,thỉnh thoảng
occasionally,tùy lúc
seldom,hiếm khi
never,không bao giờ
have a nap,ngủ trưa
shave,cạo râu
brew,pha...
chop,chặt
fold,gấp....chăn...
hang up,phơi...đồ...
beard,râu
"deserve, worthy, well-earned, beseem",
"of which, among them",trong số đó
pounced,vùi dập
flattery,tâng bốc
"alliance, ally",đồng minh
overjoyed,vui quá mức
prospect,tiềm năng
"finding, discovered",phát hiện
caught,bắt gặp
"fellow, colleague",đồng nghiệp
bololer,táo bạo hơn
misfortune,không may
summon,triệu tập
assemble,tập hợp
inconvenient,bất tiện
advantage,lợi thế
useless,vô ích
"encumbrance, disrupt",cản trở
distrust,không tin tưởng
slender,mảnh mai
"early man, primitive people",người nguyên thủy
devine,thần thánh
primitive,nguyên thủy
friction,ma sát
europe,châu âu
greek,người hy lạp
lense,ống kính
concave mirror,kính lúp
"peasant, farmer",nông dân
flints,đá lửa
chipping,sức mẻ
spark,tia lửa
crushed,nghiền
porcelain,sứ
steel,thép
tinder,bùi nhùi
"remain, maintain",duy trì
revolution,cách mạng hóa
costing,chi phí
matches,diêm
"sealed, seal",niêm phong
causing,gây ra
"instantaneous, right away",ngay lập tức
dipped,nhúng vào
tipped,nghiêng
fume,khói
eventually,sau cùng
commercia,thương mại
compatriot,đồng bào
ignition,đánh lửa
lagged,tụt lại
prevailing,thịnh hành
pioneer,tiên phong
inovation,sự đổi mới
blow out,thổi tắt
one bring day,một ngày đẹp trời
grain,ngũ cốc
begged,cầu xin
shrugged,nhún vai
disgust,ghê tởm
merchant,thương gia
one upon,ngày sửa ngày xưa
hen ,gà mái
one single go,một lần duy nhất
trace,dấu vết
miserable,khổ sở
ultimately,cuối cùng
pauper,một người vô cùng nghèo
charity,tổ chức từ thiện
jinx,"kém may, xuôi"
"moral, ethical",đạo đức
frisking,đùa giỡn
"frisk, agile",nhanh nhẹn
steep,dốc
chanced,tình cờ
chasm,hang sâu
"mighty, powerful",hùng mạnh
courage,cam đảm
trunk,thân cây
formed ,hình thành
tremble,run rẫy
swept,quét
roaring,ầm ầm
sibling,anh em ruột
tummy,bụng
pregnant,có thai
labor,nhân công
complication,sự phức tạp
siren,còi báo động
howling,rú lên
ambulance,xe cứu thương
infant,trẻ sơ sinh
"anguish, suffer",đau khổ
pediatric,khoa nhi
specialist,chuyên gia
begg,ăn xin
begging,cầu xin
intensive,nhấn mạnh....
"nagg, grouse",cằn nhằng
"firm, steadiness",sự vững chãi
frim,lạnh lùng
"gaze,stare",nhìn chằm chằm
conquer,chinh phục
scrapped,đã loại bỏ
scrap,"sắt vụn, đồng nát"
miracle,phép màu
gnat,ruồi
Amused,Vui vẻ
Beaming,Rạng rỡ
Bouncy,Hoạt bát
Buoyant,Sôi nổi
Carefree,"Vô tư, thảnh thơi"
Cheerful,Hân hoan
Delighted,"Rất hạnh phúc, hoan hỉ"
Enthusiastic,Nhiệt tình
Excited,Hứng thú
Ecstatic,Vô cùng hạnh phúc
Glad,Vui mừng
Great,Tuyệt vời
Happy,"Vui vẻ, hạnh phúc"
Optimistic,Yêu đời
Overjoyed,Cực kì hứng thú
Perky,Tươi tắn
Pleased,Hài lòng
Positive,Lạc quan
Relaxed,"Thư giãn, thoải mái"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
